                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7387,                 3.4772,                 4.0845,                0.00122,                0.08517,                0.00087,                0.00017,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 3.6003,                 3.2667,                  3.868,                0.00378,                0.26498,                  0.003,                0.00081,                      0,                    inf,                      0,               0.040724,              0.0065138,              0.0065138
                      2,                 3.4536,                 3.1877,                 3.7126,                0.00432,                0.30284,                 0.0065,                0.00152,                      0,                    inf,                      0,               0.010593,               0.009716,               0.009716
                      3,                 3.3063,                 3.1355,                 3.5337,                0.00229,                 0.1388,                0.00171,                0.00044,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 3.1077,                 2.9882,                  3.321,                0.08324,                0.05363,                0.03458,                0.00985,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 2.8902,                 2.7532,                 3.1182,                0.23983,                0.14196,                0.10432,                0.03245,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 2.6459,                 2.5324,                 2.9481,                0.36626,                0.39117,                0.30769,                0.11224,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.4575,                 2.2448,                 2.7801,                 0.6435,                 0.3986,                0.48125,                0.19636,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 2.3018,                 2.0121,                 2.6254,                0.62701,                0.60252,                0.63178,                0.25907,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.1389,                 1.7929,                 2.4683,                0.29717,                0.06309,                 0.0468,                0.00966,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.9951,                 1.6482,                 2.3545,                 0.5441,                0.60252,                0.61711,                0.25003,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.9273,                 1.6056,                 2.2898,                0.79326,                0.77918,                0.84396,                0.40108,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.8758,                 1.4527,                 2.2239,                0.79903,                0.46688,                0.56051,                0.24666,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.8003,                 1.4087,                 2.1474,                0.90157,                0.78011,                0.87493,                0.40742,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.8231,                 1.3603,                 2.1272,                0.86694,                0.84271,                0.89564,                0.47995,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.7268,                 1.3007,                  2.057,                0.87921,                0.77603,                0.85872,                0.42137,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.6809,                 1.2272,                 2.0189,                0.88983,                0.76434,                0.87611,                0.46042,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.6374,                 1.2415,                  1.989,                0.79611,                0.53312,                  0.608,                0.31113,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.6757,                 1.1969,                 1.9866,                0.79621,                0.70978,                0.77862,                0.38932,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.6358,                 1.1488,                 1.9551,                0.89079,                0.79811,                0.87777,                0.43942,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.6245,                 1.1449,                 1.9443,                0.87821,                0.84168,                0.90536,                0.48952,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                  1.608,                 1.1156,                  1.917,                0.89539,                0.62145,                0.77542,                0.40725,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.5951,                 1.1006,                  1.898,                 0.9245,                0.84988,                0.92364,                0.54749,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.5954,                 1.1008,                 1.8962,                0.91799,                0.84746,                0.91946,                0.49552,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.5733,                  1.079,                 1.8789,                0.92338,                0.87442,                0.92951,                0.52231,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.5468,                 1.0358,                 1.8485,                0.92109,                0.70347,                0.81048,                0.44278,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.5103,                 1.0119,                 1.8266,                0.89052,                0.73502,                0.84235,                0.47209,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.5288,                 1.0166,                 1.8302,                0.94145,                0.86231,                0.93016,                0.54718,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.5472,                 1.0347,                 1.8484,                0.93271,                0.87066,                0.93087,                0.53913,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.5291,                 1.0101,                 1.8409,                0.85136,                0.47634,                0.57093,                0.30871,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                  1.548,                 1.0286,                 1.8462,                0.89174,                0.89274,                0.93974,                0.55212,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.5056,                 1.0105,                 1.8091,                 0.9363,                0.87382,                0.94734,                0.55451,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.5022,                 1.0112,                  1.815,                0.94725,                0.90638,                0.95834,                0.58468,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                  1.458,                0.96509,                 1.7686,                0.75002,                0.52681,                0.63974,                0.37027,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.4987,                0.99844,                  1.805,                0.90012,                0.85287,                0.91968,                 0.5109,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.4777,                0.96905,                 1.8006,                0.86992,                0.89274,                0.93362,                0.48299,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.4466,                0.92554,                 1.7487,                0.92557,                0.86308,                0.92054,                0.54034,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.4526,                 0.9162,                 1.7682,                0.95038,                0.90852,                0.94533,                0.55376,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.4341,                0.91365,                 1.7594,                0.95257,                0.88959,                0.93733,                0.57078,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.4335,                0.90623,                 1.7538,                0.92739,                0.88634,                0.94083,                0.57431,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.4364,                0.91776,                 1.7736,                0.94345,                0.93375,                0.97147,                 0.5923,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.3934,                0.88351,                 1.7145,                0.95317,                0.89884,                 0.9541,                0.57116,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.4178,                 0.8888,                 1.7353,                0.89192,                0.75394,                0.86573,                0.47425,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.4081,                0.88504,                 1.7296,                0.89515,                0.79811,                0.86726,                0.49552,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.4159,                0.87981,                 1.7098,                0.93497,                0.90715,                0.95763,                0.58362,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3619,                0.84317,                 1.6731,                0.92901,                0.90817,                0.95712,                0.59077,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.4211,                0.89398,                 1.7032,                0.94235,                0.90536,                0.94706,                0.55036,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3583,                0.83567,                 1.6811,                  0.963,                0.88328,                 0.9609,                0.59232,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                  1.376,                0.84662,                 1.6768,                0.95918,                0.88946,                0.96209,                0.60404,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.3603,                0.84374,                 1.6797,                0.94109,                0.89905,                0.94243,                0.57272,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                   1.39,                0.84234,                 1.7006,                0.95499,                0.93702,                 0.9651,                0.59589,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.3438,                0.80396,                 1.6523,                0.95478,                0.94953,                0.96338,                 0.6082,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.3411,                0.81872,                 1.6671,                 0.9588,                0.93375,                 0.9733,                0.61439,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.3581,                0.82768,                 1.6728,                0.94166,                0.80126,                0.90929,                 0.5418,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.3214,                0.79809,                 1.6401,                 0.9549,                0.92744,                0.96926,                0.58023,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.3486,                 0.8218,                 1.6592,                0.78695,                  0.653,                 0.7357,                0.38589,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.3401,                0.81891,                 1.6533,                0.95534,                 0.9447,                 0.9742,                 0.6172,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.3404,                0.80132,                  1.633,                 0.9655,                0.95268,                0.97765,                0.60686,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.3091,                0.78998,                 1.6397,                0.97703,                0.93935,                0.96941,                0.60896,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.2815,                0.78014,                 1.6076,                0.92408,                0.83281,                0.91319,                0.55329,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                  1.321,                0.79331,                   1.63,                0.95567,                0.95206,                0.97047,                0.60599,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.2935,                0.78292,                 1.6208,                0.97918,                0.93691,                 0.9732,                0.61024,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.3216,                0.76329,                 1.6364,                 0.9703,                0.92429,                 0.9673,                0.60929,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.2945,                0.76327,                 1.6293,                0.96453,                0.94352,                0.97445,                0.60051,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.2938,                0.76839,                 1.6255,                0.95887,                0.95617,                0.97981,                0.61508,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.3036,                0.76248,                 1.6216,                   0.98,                0.92722,                 0.9761,                0.61985,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.2894,                0.76373,                 1.6169,                 0.9512,                0.92429,                0.96334,                0.62673,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.2549,                0.74149,                 1.5845,                0.96776,                0.90221,                0.95223,                0.60347,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.2663,                0.73905,                 1.6003,                0.93652,                0.90852,                 0.9565,                0.62057,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 1.2495,                 0.7409,                 1.5813,                0.94401,                0.95731,                0.97543,                0.62299,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.2403,                 0.7265,                 1.5846,                 0.9585,                0.94707,                0.97139,                0.63329,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.2456,                0.72434,                 1.5802,                0.94556,                0.94322,                0.96397,                0.62773,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.2511,                0.72442,                 1.5673,                0.95491,                 0.9353,                0.97321,                 0.6223,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.2314,                0.71719,                  1.558,                0.97025,                0.82299,                0.92591,                0.55126,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 1.2514,                0.72171,                 1.5735,                0.95064,                0.94637,                0.97299,                 0.6035,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.2411,                0.71161,                 1.5631,                0.94578,                0.94637,                0.97107,                0.62372,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.2437,                0.73782,                 1.5892,                0.96973,                0.91483,                0.96826,                0.63171,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.2518,                0.72273,                 1.5823,                0.96738,                 0.9306,                0.97345,                0.64554,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                  1.218,                 0.7068,                 1.5379,                0.96446,                0.94163,                0.97511,                0.61424,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.1866,                0.68465,                 1.5257,                0.96363,                0.92744,                0.97469,                0.60588,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.2149,                0.70238,                 1.5593,                0.96738,                0.93558,                0.97165,                0.61807,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                  1.195,                0.70132,                 1.5266,                0.95187,                0.93584,                0.96846,                0.61094,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.2032,                0.69718,                 1.5337,                0.96443,                 0.9409,                0.97067,                0.63206,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                 1.2004,                 0.6914,                 1.5235,                0.97052,                0.94953,                0.98178,                0.63092,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.1789,                0.67985,                 1.5291,                0.96101,                0.96215,                0.98194,                0.63674,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.1936,                0.69446,                 1.5389,                0.95818,                0.94953,                0.97535,                0.63697,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 1.1725,                 0.6808,                 1.5167,                0.94354,                0.89623,                0.95209,                0.59869,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                 1.1961,                0.68517,                  1.528,                0.97837,                0.94322,                0.97514,                0.65033,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                 1.1793,                0.67454,                 1.5257,                0.96067,                0.95268,                0.97153,                0.63785,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                 1.1587,                 0.6748,                 1.4931,                0.95243,                0.94953,                0.97065,                0.63233,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 1.1188,                0.58884,                 1.5221,                0.93994,                0.94953,                0.97138,                0.64128,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                 1.0979,                0.56869,                 1.4711,                0.95881,                0.94006,                0.96265,                0.61843,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                 1.1166,                0.57399,                 1.5127,                0.96571,                0.94637,                0.97681,                0.63762,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                 1.0802,                0.56373,                 1.4722,                0.97102,                0.95116,                0.98297,                0.65165,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 1.0924,                0.57543,                  1.504,                 0.9744,                0.96042,                0.98422,                0.64764,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                  1.077,                 0.5582,                 1.4782,                0.97139,                0.96397,                0.98483,                0.65063,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                 1.0602,                0.57177,                 1.4854,                0.96235,                0.96215,                0.97855,                0.65255,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                 1.0664,                0.55208,                 1.4556,                0.96252,                0.95268,                0.97914,                0.65732,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                 1.0479,                0.54628,                 1.4315,                0.97341,                0.95584,                0.97982,                0.65638,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                 1.0691,                0.55837,                 1.4731,                 0.9743,                 0.9569,                0.98121,                0.65234,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
